"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"23 Juni 2026, 15:44:37"	"BROADCOM"	"AVGO"	"381,50$"	"360,89$"	"-10"	""	"Verkauf"	"Stop"	"360,89$"	""	"Inaktiv"	"-"	"-"	""	"-5,40%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:04"	"BROADCOM"	"AVGO"	""	"379,18$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"385,00$"	""	"Ausgeführt"	"+59,25$"	"+1,59%"	""	""	""	""	""	"Kein Limit"	""	"1,1B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:01"	"NVIDIA"	"NVDA"	""	"202,18$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"202,50$"	""	"Ausgeführt"	"+61,54$"	"+1,55%"	""	""	""	""	""	"Kein Limit"	""	"1,09B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	""	"42,41$"	"100"	"0 => 100"	"Kauf"	"Limit"	""	"42,41$"	"Ausgeführt"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"1.788,94$"	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Pending"	"-"	"-"	""	"-4,57%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.797,00$"	"5"	"0 => 5"	"Kauf"	"Limit"	""	"1.797,00$"	"Ausgeführt"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	"366,84$"	"352,80$"	"-10"	""	"Verkauf"	"Stop"	"352,80$"	""	"Pending"	"-"	"-"	""	"-3,83%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	""	"389,00$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"392,00$"	"Ausgeführt"	"-"	"-"	""	""	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	"348,01$"	"339,74$"	"-15"	""	"Verkauf"	"Stop"	"339,74$"	""	"Pending"	"-"	"-"	""	"-2,38%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 18:24:26"	"PALANTIR TECHNOLOGIES"	"PLTR"	"116,14$"	"114,19$"	"-20"	""	"Verkauf"	"Stop"	"114,19$"	""	"Pending"	"-"	"-"	""	"-1,68%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"702,35$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-8,05%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"702,35$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-12,65%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:45:38"	"ADVANCED MICRO DEVICES"	"AMD"	"522,20$"	"441,20$"	"6"	""	"Kauf"	"Limit"	""	"441,20$"	"Pending"	"-"	"-"	""	"-15,51%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:44:56"	"NU CLASS A"	"NU"	"12,61$"	"12,00$"	"200"	""	"Kauf"	"Limit"	""	"12,00$"	"Pending"	"-"	"-"	""	"-4,84%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"440,49$"	"404,90$"	"10"	""	"Kauf"	"Limit"	""	"404,90$"	"Pending"	"-"	"-"	""	"-8,08%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:39:29"	"PALO ALTO NETWORKS"	"PANW"	"289,62$"	"250,80$"	"10"	""	"Kauf"	"Limit"	""	"250,80$"	"Pending"	"-"	"-"	""	"-13,40%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:38:41"	"VISA"	"V"	"328,50$"	"310,05$"	"6"	""	"Kauf"	"Limit"	""	"310,05$"	"Pending"	"-"	"-"	""	"-5,62%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:19"	"ARISTA NETWORKS"	"ANET"	"162,00$"	"145,50$"	"20"	""	"Kauf"	"Limit"	""	"145,50$"	"Pending"	"-"	"-"	""	"-10,19%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Telekommunikation"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:00"	"CLOUDFLARE CLASS A"	"NET"	"225,00$"	"193,60$"	"10"	""	"Kauf"	"Limit"	""	"193,60$"	"Pending"	"-"	"-"	""	"-13,96%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:34:30"	"CROWDSTRIKE"	"CRWD"	"679,46$"	"619,50$"	"6"	""	"Kauf"	"Limit"	""	"619,50$"	"Pending"	"-"	"-"	""	"-8,82%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:31:40"	"BLOCK CLASS A"	"XYZ"	"71,76$"	"67,88$"	"50"	""	"Kauf"	"Limit"	""	"67,88$"	"Pending"	"-"	"-"	""	"-5,41%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:31:21"	"SERVICENOW"	"NOW"	"96,61$"	"USD"	"50"	""	"Kauf"	"Limit"	""	"88,80$"	"Pending"	"-"	"-"	""	"-8,08%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:16:21"	"SERVICENOW"	"NOW"	"96,61$"	"84,36$"	"-50"	""	"Verkauf"	"Stop"	"84,36$"	""	"Inaktiv"	"-"	"-"	""	"-12,68%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:59:56"	"NU CLASS A"	"NU"	"12,61$"	"11,40$"	"-200"	""	"Verkauf"	"Stop"	"11,40$"	""	"Inaktiv"	"-"	"-"	""	"-9,60%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 16:53:41"	"VISA"	"V"	"328,50$"	"294,55$"	"-6"	""	"Verkauf"	"Stop"	"294,55$"	""	"Inaktiv"	"-"	"-"	""	"-10,33%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 14:20:00"	"CLOUDFLARE CLASS A"	"NET"	"225,00$"	"183,92$"	"-10"	""	"Verkauf"	"Stop"	"183,92$"	""	"Inaktiv"	"-"	"-"	""	"-18,26%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:54:29"	"PALO ALTO NETWORKS"	"PANW"	"289,62$"	"238,26$"	"-10"	""	"Verkauf"	"Stop"	"238,26$"	""	"Inaktiv"	"-"	"-"	""	"-17,73%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 13:49:54"	"CROWDSTRIKE"	"CRWD"	"679,46$"	"588,50$"	"-6"	""	"Verkauf"	"Stop"	"588,50$"	""	"Inaktiv"	"-"	"-"	""	"-13,39%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 13:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"440,49$"	"384,66$"	"-10"	""	"Verkauf"	"Stop"	"384,66$"	""	"Inaktiv"	"-"	"-"	""	"-12,67%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:35:19"	"ARISTA NETWORKS"	"ANET"	"162,00$"	"138,23$"	"-20"	""	"Verkauf"	"Stop"	"138,23$"	""	"Inaktiv"	"-"	"-"	""	"-14,67%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Telekommunikation"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 13:30:38"	"ADVANCED MICRO DEVICES"	"AMD"	"522,20$"	"419,14$"	"-6"	""	"Verkauf"	"Stop"	"419,14$"	""	"Inaktiv"	"-"	"-"	""	"-19,74%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 12:01:40"	"BLOCK CLASS A"	"XYZ"	"71,76$"	"64,49$"	"-50"	""	"Verkauf"	"Stop"	"64,49$"	""	"Inaktiv"	"-"	"-"	""	"-10,13%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"17 Juni 2026, 15:42:53"	"AMAZON"	"AMZN"	"233,60$"	"230,09$"	"-10"	""	"Verkauf"	"Stop"	"230,09$"	""	"Pending"	"-"	"-"	""	"-1,50%"	""	""	""	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NASDAQ ETH"	"USD"	

