"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"23 Juni 2026, 15:30:04"	"BROADCOM"	"AVGO"	""	"379,18$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"385,00$"	""	"Ausgeführt"	"+59,25$"	"+1,59%"	""	""	"370,41"	"0,08%"	"370,71"	"Kein Limit"	""	"1,1B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 15:30:01"	"NVIDIA"	"NVDA"	""	"202,18$"	"-20"	"20 => 0"	"Verkauf"	"Stop"	"202,50$"	""	"Ausgeführt"	"+61,54$"	"+1,55%"	""	""	"194,93"	"0,03%"	"194,99"	"Kein Limit"	""	"1,09B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 11:15:56"	"NIKE"	"NKE"	""	"42,41$"	"100"	"0 => 100"	"Kauf"	"Limit"	""	"42,41$"	"Ausgeführt"	"-"	"-"	""	""	"40,90"	"0,05%"	"40,92"	"Kein Limit"	""	""	"AKT"	"Gebrauchsgüter"	"NYSE ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.797,00$"	"5"	"0 => 5"	"Kauf"	"Limit"	""	"1.797,00$"	"Ausgeführt"	"-"	"-"	""	""	"1.784,87"	"0,17%"	"1.787,87"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	""	"389,00$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"392,00$"	"Ausgeführt"	"-"	"-"	""	""	"332,27"	"0,35%"	"333,42"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	""	"347,07$"	"15"	"0 => 15"	"Kauf"	"Limit"	""	"347,07$"	"Ausgeführt"	"-"	"-"	""	""	"339,43"	"0,20%"	"340,12"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 18:24:26"	"PALANTIR TECHNOLOGIES"	"PLTR"	""	"120,20$"	"20"	"0 => 20"	"Kauf"	"Limit"	""	"120,20$"	"Ausgeführt"	"-"	"-"	""	""	"112,53"	"0,04%"	"112,58"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 15:30:04"	"ALPHABET CLASS A"	"GOOGL"	""	"358,56$"	"-10"	"10 => 0"	"Verkauf"	"Stop"	"357,40$"	""	"Ausgeführt"	"+32,60$"	"+0,92%"	""	""	"339,43"	"0,20%"	"340,12"	"Kein Limit"	""	"1,01B"	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"689,12$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-6,29%"	"685,00"	"0,60%"	"689,12"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"689,12$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-10,97%"	"685,00"	"0,60%"	"689,12"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:45:38"	"ADVANCED MICRO DEVICES"	"AMD"	"514,42$"	"441,20$"	"6"	""	"Kauf"	"Limit"	""	"441,20$"	"Pending"	"-"	"-"	""	"-14,23%"	"514,22"	"0,07%"	"514,57"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:44:56"	"NU CLASS A"	"NU"	"13,15$"	"12,00$"	"200"	""	"Kauf"	"Limit"	""	"12,00$"	"Pending"	"-"	"-"	""	"-8,75%"	"13,11"	"0,38%"	"13,16"	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"431,36$"	"404,90$"	"10"	""	"Kauf"	"Limit"	""	"404,90$"	"Pending"	"-"	"-"	""	"-6,13%"	"431,20"	"0,16%"	"431,90"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
