"null"	"Datum"	"Name"	"Ticker"	"Letzter"	"Preis"	"Menge"	"Pos. Veränd."	"Richtung"	"Typ"	"Stop"	"Limit"	"Status"	"Gewinn"	"Gewinn pro Einheit"	"Trail. Stop"	"% Gap"	"Bid"	"Spread"	"Ask"	"Gültigkeit"	"Kommentar"	"Dauer"	"Typ"	"Sektor"	"Börsenplatz"	"Währung"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	"1.776,16$"	"1.707,15$"	"-5"	""	"Verkauf"	"Stop"	"1.707,15$"	""	"Pending"	"-"	"-"	""	"-3,89%"	"1.775,00"	"0,34%"	"1.781,00"	"Kein Limit"	""	""	"AKT"	"USD"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:02"	"ASML NEW YORK REGISTRY SHARES"	"ASML"	""	"1.797,00$"	"5"	"0 => 5"	"Kauf"	"Limit"	""	"1.797,00$"	"Ausgeführt"	"-"	"-"	""	""	"1.775,00"	"0,34%"	"1.781,00"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NASDAQ ETH"	"USD"	
""	"23 Juni 2026, 10:00:00"	"ARM"	"ARM"	""	"389,00$"	"10"	"0 => 10"	"Kauf"	"Limit"	""	"392,00$"	"Ausgeführt"	"-"	"-"	""	""	"357,01"	"0,84%"	"360,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"22 Juni 2026, 19:31:33"	"ALPHABET CLASS A"	"GOOGL"	"345,67$"	"339,74$"	"-15"	""	"Verkauf"	"Stop"	"339,74$"	""	"Pending"	"-"	"-"	""	"-1,72%"	"345,50"	"0,05%"	"345,67"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"692,44$"	"645,80$"	"5"	""	"Kauf"	"Limit"	""	"645,80$"	"Pending"	"-"	"-"	""	"-6,74%"	"690,25"	"2,44%"	"707,07"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:49:31"	"QUANTA SERVICES"	"PWR"	"692,44$"	"613,51$"	"-5"	""	"Verkauf"	"Stop"	"613,51$"	""	"Inaktiv"	"-"	"-"	""	"-11,40%"	"690,25"	"2,44%"	"707,07"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:45:38"	"ADVANCED MICRO DEVICES"	"AMD"	"523,70$"	"441,20$"	"6"	""	"Kauf"	"Limit"	""	"441,20$"	"Pending"	"-"	"-"	""	"-15,75%"	"523,40"	"0,11%"	"524,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:44:56"	"NU CLASS A"	"NU"	"12,52$"	"12,00$"	"200"	""	"Kauf"	"Limit"	""	"12,00$"	"Pending"	"-"	"-"	""	"-4,15%"	"12,50"	"0,80%"	"12,60"	"Kein Limit"	""	""	"AKT"	"Finanzdienstleistung"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:40:41"	"TAIWAN SEMICONDUCTOR MANUFACTURING"	"TSM"	"442,98$"	"404,90$"	"10"	""	"Kauf"	"Limit"	""	"404,90$"	"Pending"	"-"	"-"	""	"-8,60%"	"442,50"	"0,14%"	"443,10"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:39:29"	"PALO ALTO NETWORKS"	"PANW"	"286,10$"	"250,80$"	"10"	""	"Kauf"	"Limit"	""	"250,80$"	"Pending"	"-"	"-"	""	"-12,34%"	"286,10"	"0,59%"	"287,80"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:38:41"	"VISA"	"V"	"331,88$"	"310,05$"	"6"	""	"Kauf"	"Limit"	""	"310,05$"	"Pending"	"-"	"-"	""	"-6,58%"	"330,00"	"1,16%"	"333,84"	"Kein Limit"	""	""	"AKT"	"Industrieunternehmen"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:19"	"ARISTA NETWORKS"	"ANET"	"163,21$"	"145,50$"	"20"	""	"Kauf"	"Limit"	""	"145,50$"	"Pending"	"-"	"-"	""	"-10,85%"	"160,00"	"2,50%"	"164,00"	"Kein Limit"	""	""	"AKT"	"Telekommunikation"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:35:00"	"CLOUDFLARE CLASS A"	"NET"	"223,48$"	"193,60$"	"10"	""	"Kauf"	"Limit"	""	"193,60$"	"Pending"	"-"	"-"	""	"-13,37%"	"220,25"	"4,27%"	"229,66"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:34:30"	"CROWDSTRIKE"	"CRWD"	"676,74$"	"619,50$"	"6"	""	"Kauf"	"Limit"	""	"619,50$"	"Pending"	"-"	"-"	""	"-8,46%"	"673,86"	"0,61%"	"678,00"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NASDAQ ETH"	"USD"	
""	"21 Juni 2026, 17:31:40"	"BLOCK CLASS A"	"XYZ"	"75,68$"	"67,88$"	"50"	""	"Kauf"	"Limit"	""	"67,88$"	"Pending"	"-"	"-"	""	"-10,31%"	"75,50"	"0,99%"	"76,25"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
""	"21 Juni 2026, 17:31:21"	"SERVICENOW"	"NOW"	"94,26$"	"88,80$"	"50"	""	"Kauf"	"Limit"	""	"88,80$"	"Pending"	"-"	"-"	""	"-5,79%"	"USD"	"0,48%"	"94,30"	"Kein Limit"	""	""	"AKT"	"Technologie"	"NYSE ETH"	"USD"	
